Cochin,Jabalpur,Vishakapatnam,Bombay,Hyderabad,Lucknow,Imphal,Amritsar,Bangalore,Indore,Madras,Pune,Shimla,Asansol,Shillong,Panjim,Gwalior,Kolhapur,Varanasi,Baroda,Calcutta,Allahabad,Meerut,Nasik,Jaipur,Surat,Jamshedpur,Chandigarh,Calicut,Madurai,Hubli,Vijayawada,Ahmedabad,Ranchi,Bhopal,Bhubaneshwar,Delhi,Nagpur,Agra,Coimbatore,Kanpur,Trivandrum,Pondicherry,Ludhiana,Agartala,Patna,Jullundur
9.9312,23.1815,17.6868,19.076,17.385,26.8467,24.817,31.634,12.9716,22.7196,13.0827,18.5204,31.1048,23.676,25.576,15.4909,26.2183,16.705,25.3176,22.3072,22.5726,25.4358,28.6139,19.9975,26.9124,21.1702,22.8046,30.7333,11.2588,9.9252,15.3647,16.5062,23.0225,23.3441,23.2599,20.2961,28.6139,21.1458,27.1767,11.0168,26.4499,8.5241,11.9139,30.901,23.8315,25.5941,31.326
76.2673,79.9864,83.2185,72.8777,78.4867,80.9462,93.9368,74.8723,77.5946,75.8577,80.2707,73.8567,77.1734,86.9784,91.882,73.8278,78.1828,74.2433,82.9739,73.1812,88.3639,81.8463,77.2828,73.7898,75.7873,72.8311,86.2029,76.7794,75.7804,78.1198,75.124,80.648,72.5714,85.3096,77.4126,85.8245,77.209,79.0882,78.0081,76.9558,80.3319,76.9366,79.8145,75.8573,91.2868,85.1376,75.5762
